Name ,Longitude,Lattitude,Target
Nature's Fuel & Foodzone,19.3839229,72.82926931,Food
Pic A Bite - Vartak Branch,19.38386217,72.82926462,Food
Chai Nation,19.38423537,72.82956771,Food
Souffle Cake Shop Vasai station,19.38344005,72.83043446,Food
Ross exotic,19.3834021,72.83042172,Food
Tungareshwar Sweet & Farsan,19.38344764,72.83027688,Food
Jumboking Vadapav,19.38351089,72.8308777,Food
Dhuri Food Plaza,19.38358806,72.83082673,Food
Vasai Amrittulya,19.38383265,72.83046089,Food
Iceburg Cafe,19.38410285,72.83060728,Food
Café de knight,19.38349368,72.82887869,Food
Charcoal Eats,19.38487296,72.83056828,Food
Tasty Talks,19.38419398,72.82944249,Food
Snacks Point,19.38377952,72.82957289,Food
Celebrity west,19.38314293,72.82821008,Food
Barrel cafe,19.38343043,72.82882229,Food
Jay Ambe Fast Food Centre,19.38318203,72.82956037,Food
Shankar pav bhaji center,19.38449561,72.82751825,Food
Express Biryani,19.3832436,72.82975217,Food
Abhiraj Family Restaurant,19.38322251,72.83046371,Food
Dosa n More,19.38199613,72.82865365,Food
Baskin Robbins,19.38417659,72.82697714,Food
Sangeeta Panipuri Center,19.38472313,72.82721128,Food
