Name ,Longitude,Lattitude,Target
sunshine chemist ,19.39207064,72.8257916,Medical
G.S pharmacy vasai,19.38891312,72.83042646,Medical
Rathod chemist,19.38437485,72.8330486,Medical
Micro chemist,19.38146139,72.83177162,Medical
Shree bhavni chemist ,19.37723117,72.82939584,Medical
Aarushi chemist ,19.38008868,72.82734673,Medical
New apple chemist,19.38030589,72.8248807,Medical
life plus,19.382445,72.82682087,Medical
Tulsi medical,19.38410673,72.82745,Medical
Shree radhe chemist,19.38367152,72.82497541,Medical
Nimbeshwar medical,19.38187503,72.82631756,Medical
Pharm easy store ,19.38452434,72.82684848,Medical
Mahaaxmi medicak,19.38406043,72.83003519,Medical
shree ji medical ,19.38140722,72.83007234,Medical
Krishna medical,19.37976938,72.83105989,Medical
Vasai homeopathic ,19.38019856,72.83144985,Medical
Mahavir medical ,19.38070947,72.83073492,Medical
Vikas pharmacy ,19.37960589,72.82794023,Medical
Usha pharmacy ,19.38099559,72.83227309,Medical
Maharashtra medio ,19.38107355,72.83202141,Medical
Prajapati  medical ,19.38179551,72.83204093,Medical
sunshine chemist ,19.38179551,72.83204093,Medical
VVSB Ushakiranmedical And General Store,19.39173647,72.8265895,Medical
Parizad medical ,19.38908496,72.82598868,Medical
