Name,Long,Lat,Rating,Type
"sunshine chemist ",19.39207064,72.8257916,2.1,Medical
G.S pharmacy vasai,19.38891312,72.83042646,4,Medical
Rathod chemist,19.38437485,72.8330486,4.5,Medical
Micro chemist,19.38146139,72.83177162,5,Medical
"Shree bhavni chemist ",19.37723117,72.82939584,3.5,Medical
"Aarushi chemist ",19.38008868,72.82734673,4.5,Medical
New apple chemist,19.38030589,72.8248807,4,Medical
life plus,19.382445,72.82682087,3,Medical
Tulsi medical,19.38410673,72.82745,5,Medical
Shree radhe chemist,19.38367152,72.82497541,2,Medical
Nimbeshwar medical,19.38187503,72.82631756,1,Medical
"Pharm easy store ",19.38452434,72.82684848,4.5,Medical
Mahaaxmi medicak,19.38406043,72.83003519,4.4,Medical
"shree ji medical ",19.38140722,72.83007234,3.5,Medical
Krishna medical,19.37976938,72.83105989,5,Medical
"Vasai homeopathic ",19.38019856,72.83144985,3,Medical
"Mahavir medical ",19.38070947,72.83073492,2,Medical
"Vikas pharmacy ",19.37960589,72.82794023,5,Medical
"Usha pharmacy ",19.38099559,72.83227309,1,Medical
"Maharashtra medio ",19.38107355,72.83202141,3.3,Medical
"Prajapati  medical ",19.38179551,72.83204093,4.4,Medical
"sunshine chemist ",19.38179551,72.83204093,2.5,Medical
VVSB Ushakiranmedical And General Store,19.39173647,72.8265895,4.5,Medical
"Parizad medical ",19.38908496,72.82598868,5,Medical
one medical,19.34646962,72.84588765,4.9,Medical
Jagrut Medical & General Stores,19.38895466,72.82434863,3.1,Medical
Padmavati clinic,19.34364349,72.83740113,5,Medical
Kamal Medical And General Stores,19.34496813,72.83569876,2.3,Medical
Sai clinic,19.3435104,72.82728735,2.1,Medical
Naigaon Primary Health Sub Center,19.342245,72.82742531,4.5,Medical
Kiran Gawad,19.3433788,72.82304794,2.1,Medical
Metropolis Healthcare Ltd,19.34758999,72.81935722,4,Medical
Arya Physiotherapy Centre,19.34762036,72.81665861,4.5,Medical
Atul Medical And General Stores,19.3432472,72.80378401,5,Medical
MY STAR MEDICAL,19.34586909,72.80377328,3.5,Medical
D'souza Hospital,19.34883511,72.79861271,4.5,Medical
Om Sai Medical,19.35403312,72.8161329,4,Medical
Alpa Medical And General Stores,19.35387116,72.81269967,3,Medical
Sakai Medical & General Store,19.35994457,72.8390497,5,Medical
Jagrut Medical & General Stores,19.34731668,72.84544945,2,Medical
SHREE Siddhivinayak medical store Naigaon east,19.36017738,72.84559965,1,Medical
Rishabh Medical Stores,19.36108837,72.85412907,4.5,Medical
Patel Medical,19.43802804,72.85440289,4.4,Medical
Shree Rajaram Medical And General Stores,19.40465954,72.83836027,3.5,Medical
Ganesh Medical & General Stores,19.40981393,72.83416927,5,Medical
Lalit Medico,19.40502259,72.82427206,3,Medical
Aum Medical Store,19.41167583,72.83097933,2,Medical
Achole medical,19.41021869,72.8286619,5,Medical
Kumkum Medical & general,19.40801273,72.82735526,1,Medical
Kumkum Medical & general,19.40712534,72.82738882,3.3,Medical
Vinayak Medical & General Stores,19.40718738,72.82739343,4.4,Medical
V care clinic,19.40508256,72.82639564,2.5,Medical
K&K SUPERSPECIALITY HOSPITAL,19.40566,72.82303195,4.5,Medical
Reliance Digital,19.40763199,72.82264061,5,Medical
Roshani medical and general Store,19.40840137,72.82676719,4,Medical
Shree Nivas Medical Store,19.41682764,72.82487563,3.1,Medical
Medical And General Store,19.41662645,72.82312569,4.9,Medical
Nallasopara medical,19.4182859,72.81913698,3.1,Medical
MAharashtra Medical,19.41788535,72.81625636,5,Medical
Zeno Health (Generico) - Pharmacy,19.41807278,72.81621456,2.3,Medical
TITAN HOSPITAL MULTISPECIALITY,19.4185474,72.81444915,2.1,Medical
Star Hospital,19.41588103,72.81059591,4.5,Medical
Ashwini Childrens Hospital,19.4157958,72.81201868,2.1,Medical
Primary Health Centre,19.4163191,72.81290017,4,Medical
Amit Medical,19.41535276,72.80851744,4.5,Medical
Patil Hospital,19.41970032,72.81526301,5,Medical
Kudalkar Hospital,19.41965348,72.81443819,3.5,Medical
RAKIYA ORTHO HOSPITAL,19.42039529,72.81231411,4.5,Medical
Dr.Yadav Hospital for women,19.42045907,72.81567539,4,Medical
Lilavti Hospital,19.42109441,72.81679964,3,Medical
Nallasopara west Vasai virar mahanagar palika,19.42183494,72.81695668,5,Medical
Gupta doctor eye clinic,19.42343942,72.81592249,2,Medical
Ayush Hospital,19.42970023,72.81248603,1,Medical
MEDIC'S LABORATORY,19.42907254,72.81472411,4.5,Medical
Netrajyot eye hospital,19.4271466,72.81116367,4.4,Medical
MAA SARASWATI HOSPITAL AND DIALYSIS CENTRE,19.42905104,72.81912021,4.5,Medical
Sai Samarth Medical,19.42892773,72.82095954,2.1,Medical
narayan medical,19.42937057,72.82278071,4,Medical
medical store,19.42362082,72.82577639,4.5,Medical
Alliance hospital,19.41993775,72.82264357,5,Medical
piles clinic,19.41773191,72.8299821,3.5,Medical
Riddhi Vinayak Multispeciality Hospital,19.43692686,72.810716,4.5,Medical
Aarush Hospital Suruchi Apartment Manvelpada Virar East,19.44170611,72.81818533,4,Medical
General hospital,19.44943538,72.81771326,3,Medical
Diksha medical,19.47001411,72.79837768,5,Medical
"Triputi medical ",19.46812626,72.80347389,2,Medical
"Jai Ambe medical ",19.46944811,72.80441266,1,Medical
