Name,Long,Lat,Rating,Type
Aadhar Seva Kendra,19.38363691,72.8257365,1,Gov
VVMC Municipal Office,19.40095761,72.84347318,1.8,Gov
Welkin International School,19.40147405,72.82891764,2,School
Talathi Office,19.36075197,72.79755197,2,Gov
Vasai Virar City Municipal Corporation (Prabhag Samiti B),19.42174327,72.81714977,2.7,Gov
Gram Panchayat Vadavali (VVMC Ward Office),19.34216949,72.8345324,3,Gov
Sandor municipality office,19.36071318,72.79767036,3,Gov
"Vasai Virar City Municipal Corporation, Navghar Manikpur Ward Office.",19.38254927,72.83060952,3.2,Gov
"Tahsil Office, Vasai",19.33545577,72.80769799,3.3,Gov
Vasai Regional Transport Office,19.33435633,72.80693122,3.3,Gov
Vasai Virar Municipal Medical Health Department,19.40916952,72.82872588,3.3,Gov
"Vasai-Virar City Municipal Corporation (VVCMC) - I Ward, Vasai Gaon Office",19.34233569,72.80458108,3.4,Gov
Aadhaar Enrolment Center,19.37852547,72.82333615,3.4,Gov
"District Court, Vasai",19.33564593,72.8074306,3.5,Gov
Sub registrar office Vasai 1,19.37107255,72.81751187,3.5,Gov
Sheth Vidya Mandir English High School And Junior College of Science And Commerce,19.40260706,72.82987008,3.6,School
Canossa High School,19.37495952,72.83040155,3.7,School
Health Department Mahanagar Palika,19.38298217,72.83048169,3.7,Gov
St Peters English High School,19.37956308,72.82093074,3.8,School
Ryan International School,19.37290134,72.82206369,3.8,School
ESIC OFFICE VASAI,19.37987839,72.83138218,3.8,Gov
Nazareth Primary School,19.36975207,72.82140852,3.9,School
Jay sai Gym Gavraipada,19.42119453,72.84531799,3.9,Gym
St.Francis High School,19.38310214,72.82131936,4,School
St. John Bosco High School,19.33792292,72.80759671,4,School
Carmel International School,19.36964255,72.81869439,4,School
KALINDI ENGLISH HIGH SCHOOL,19.40147471,72.83929597,4,School
Sub Divisional Office(Prant) Vasa,19.33462959,72.80721243,4,Gov
Ward G Vasai-Virar Mahanagar Palika Vibhag,19.41586029,72.86117691,4,Gov
Assistant commissioner of police Vasai- Virar,19.37985332,72.82614791,4,Gov
"Primary Health Center, Navgha",19.38453167,72.82976141,4,Gov
Essar Fitness Gym,19.34488359,72.84394863,4,Gym
Holy Paradise High School,19.38162279,72.82394135,4.1,School
Shah M.K. High School,19.37766539,72.82665811,4.1,School
MOTHER BLESS ENGLISH HIGH SCHOOL & JR.COLLEGE AND निर्मला विद्यालय,19.39241824,72.85918493,4.1,School
Mount Carmel high school and junior college,19.3728198,72.81401727,4.1,School
Barboz Fitness Center,19.38956407,72.82794309,4.1,Gym
I FITNESS STUDIO,19.38504147,72.82500352,4.1,Gym
Silver GYM,19.40030264,72.84205858,4.1,Gym
Big boss complete fitness,19.38052006,72.81560689,4.1,Gym
Vidya Vikasini School (ICSE),19.40947249,72.84128512,4.2,School
St. Anne's Convent High School and Junior College,19.38724003,72.82427098,4.2,School
BKS High School and Junior College,19.37329279,72.824477,4.2,School
G.J.Vartak Vidyalaya,19.37916199,72.83290308,4.2,School
St. Joseph English High School,19.40628594,72.84515932,4.2,School
Fitness Paradise,19.40927257,72.83687011,4.2,Gym
Podar International School - Vasai,19.35926309,72.81253741,4.3,School
J.B. Ludhani High School,19.40079695,72.84002204,4.3,School
Pyramid Global School,19.38832779,72.78295401,4.3,School
St. Xavier's High School,19.37225675,72.8281906,4.3,School
Tree House High School,19.33712265,72.80870785,4.3,School
GST and central excise office,19.37908292,72.82781962,4.3,Gov
Aadhar enrollment centre आधार केंद्र,19.38855884,72.82603452,4.3,Gov
Dr.M.G.Parulekar school,19.33971788,72.80131702,4.4,School
Gold's Gym Vasai,19.36508381,72.81527974,4.4,Gym
Cerejo 11 Fitness Gym,19.38103285,72.82909514,4.4,Gym
Mesomorph The Gym,19.38055961,72.82937225,4.4,Gym
Rock The Gym,19.34767034,72.80971372,4.4,Gym
I Fitness Studio Vasai East Branch,19.40985515,72.83407628,4.4,Gym
11 STATION THE FITNESS STUDIO,19.37543624,72.82529924,4.4,Gym
FITNEZPRO,19.37752329,72.81786922,4.4,Gym
The Strength Fitness Center,19.41900217,72.80833604,4.4,Gym
St. Augustine's High School,19.36865644,72.82034182,4.5,School
ISAAC NEWTON GLOBAL SCHOOL,19.34701715,72.80107788,4.5,School
Carmelite Convent English High School,19.36077582,72.80775031,4.5,School
Vidya Vikasini English High School & Junior College,19.40932167,72.84078785,4.5,School
Holy Family Convent High Schoo,19.40298367,72.83769033,4.5,School
Nazareth Convent High School,19.36996613,72.81660756,4.5,School
Citizen English High School,19.33935049,72.80180541,4.5,School
Sunil Gym,19.37272335,72.8229001,4.5,Gym
Gym Point,19.37297924,72.81435324,4.5,Gym
Transformers - The Body Engineers,19.36652945,72.81538164,4.5,Gym
Gold fitness club,19.4308964,72.87179292,4.5,Gym
Bfit GYM,19.4153182,72.80496965,4.5,Gym
R P Wagh High School Vasai West,19.34407823,72.80512745,4.6,School
Notre Dame School,19.36018959,72.79857496,4.6,School
Sub Divisional Police Office Vasai,19.38416165,72.83054776,4.6,Gov
Total Fitness,19.35032342,72.81227859,4.6,Gym
Unique Fitness,19.40914531,72.83554992,4.6,Gym
Ship Shape Fitness Hub,19.41805364,72.81766911,4.6,Gym
St Xavier's ICSE School,19.372594,72.8266979,4.7,School
Gymzilla,19.38313193,72.82061043,4.7,Gym
J-RAI GYMNASIUM,19.40413273,72.83169225,4.7,Gym
i i fitness vasai,19.42619976,72.86701013,4.7,Gym
Muscle Factory Gym,19.42262761,72.86481065,4.7,Gym
The Fitness House,19.42123343,72.80916774,4.7,Gym
Divine Santo Nino International School,19.40590855,72.85060597,4.8,School
NEXTGEN FITNESS,19.36894037,72.81778164,4.8,Gym
Evershine Gym,19.40118494,72.83967502,4.8,Gym
House of Gains - The Gym,19.34863943,72.80027924,4.8,Gym
