Name,Long,Lat,Rating,Type
MERRA STATIONARY,19.40367915,72.83820524,2,Stationary
STAR STATIONAY,19.37154098,72.81793584,3,Stationary
ISHAKRUPA STATIONERY,19.37453776,72.82360494,5,Stationary
CHOICES STATIONERY,19.38113049,72.82448462,4,Stationary
VASAI BOOK STORE ,19.3812688,72.83161986,1,Stationary
VASAI STATIONERY ,19.38283626,72.82375155,1,Stationary
LAKSHMI STATIONERY ,19.38442136,72.82711245,0,Stationary
BALAJI STATIONERY ,19.38436784,72.82710749,3,Stationary
VARIETY BOOK STORE,19.38421902,72.8272302,2,Stationary
AMIBIKA STORE ,19.38344997,72.82942348,4,Stationary
NEW IDEAL MART ,19.38408655,72.83020833,5,Stationary
MAHAKALI STORE,19.38391191,72.8302428,1,Stationary
KRITIK BOOK STORE ,19.38234328,72.83011627,3,Stationary
HIRA STATIONERY,19.38191361,72.82942943,4,Stationary
POOJA STATIONERY ,19.38167149,72.83050307,1,Stationary
MK XEROX,19.38628599,72.82979176,5,Stationary
PRABHAT STATIONERY,19.38388502,72.83388297,2,Stationary
RAJ STATIONERY ,19.38296871,72.8336196,3,Stationary
DHAYANVAD STATIONERY,19.36743599,72.89269697,1,Stationary
SHIVAAY STATIONERY,19.36759842,72.86937846,5,Stationary
SAGAR STATIONERY,19.36332042,72.85989713,3,Stationary
SAWANT STATIONERY,19.36020908,72.85422895,2,Stationary
RAJHANS STATIONERY,19.36050078,72.84850188,2,Stationary
PICK AND JOY SHOP,19.36409825,72.84577085,1,Stationary
RIDHIDI COLLECTION ,19.36059801,72.84468874,5,Stationary
DIAMOND STATIONERY ,19.35432655,72.84293676,2,Stationary
SIDHI STATIONERY,19.35607675,72.83876291,3,Stationary
SHREE GANESH ,19.3444779,72.83994256,5,Stationary
PRANIT STATIONERY ,19.34284138,72.83545279,4,Stationary
RAM STATIONERY,19.34308099,72.83504647,1,Stationary
SHAM STATIONERY ,19.34368003,72.83354816,1,Stationary
UNIVERSAL STATIONERY ,19.35135,72.81540449,0,Stationary
AMUL STATIONERY ,19.35360815,72.81223904,3,Stationary
BJ STATIONERY ,19.35011164,72.80621696,2,Stationary
NIDHI STATIONERY ,19.36861319,72.82829791,4,Stationary
PRABHATSTORY ,19.38405382,72.83478323,5,Stationary
ZAYN SHOP,19.4057779,72.82385481,1,Stationary
BHUMI STORE,19.41579748,72.82968654,3,Stationary
SMART STORY,19.41684845,72.82578634,4,Stationary
AMBE STORE,19.42035163,72.82597206,1,Stationary
TIRUPATI ,19.42304903,72.82496915,5,Stationary
SADASHIV ,19.41934805,72.8200632,2,Stationary
JAI SHREE RAM ,19.41920608,72.819974,3,Stationary
HARI OM STORE,19.4200894,72.81567009,1,Stationary
EK DO THIN ,19.41849412,72.81573017,5,Stationary
HARDIK STORE,19.42024084,72.8110161,3,Stationary
SWAGAT ,19.4163909,72.81367568,2,Stationary
A TO Z,19.41642241,72.81222224,2,Stationary
GANESH ,19.41632,72.81177953,1,Stationary
HARSH ,19.42587555,72.82082623,5,Stationary
GANESH ,19.42575176,72.81955109,5,Stationary
MAYA STORE ,19.42592861,72.81574443,3,Stationary
KOMAL STORE ,19.42681283,72.81486308,2,Stationary
MATA STORE ,19.42502669,72.8109439,2,Stationary
OM GANESH ,19.43238863,72.82310032,1,Stationary
JAI BHOLE ,19.44799106,72.81869702,5,Stationary
SHIVRAI ,19.4489054,72.81170519,2,Stationary
RAMSHANKER,19.44770232,72.80905136,3,Stationary
POOJA SHINGH STORE ,19.45121529,72.81053138,5,Stationary
SAKSHI STORE,19.45496524,72.81286688,4,Stationary
KARAN STORE,19.45451919,72.81105812,1,Stationary
SSS STORE ,19.45221019,72.80802496,1,Stationary
A1,19.45315479,72.80655012,0,Stationary
C1,19.45454543,72.80596575,3,Stationary
EVA ELFIE STORE,19.45630339,72.80081773,2,Stationary
SHIVAM STORE,19.46010787,72.80168037,4,Stationary
VIRAR STORE ,19.45785143,72.80524224,5,Stationary
VIRAR EAST STORE ,19.46021282,72.81317298,1,Stationary
BALAJI STATIONERY ,19.47051975,72.80428975,3,Stationary
SHIVANI STORE ,19.47374354,72.80776015,4,Stationary
MAYUR SYTORE,19.46340282,72.77350185,1,Stationary
RAM SHANKER ,19.31607906,72.85434152,5,Stationary
MANOJ STORE ,19.31464522,72.85951686,2,Stationary
SHIVRAI ,19.31016437,72.85842482,3,Stationary
SHREYA ,19.31460041,72.85524364,1,Stationary
RAMSHANKER,19.31321136,72.85381923,5,Stationary
JAI RAM ,19.30714853,72.85771543,3,Stationary
WELCOME ,19.30824921,72.84994024,2,Stationary
MAHALASHMI ,19.28681576,72.85051889,2,Stationary
