Name,Long,Lat,Type,Rating
TOP- 10 Mobile Shop (Vasai West Near Parvati Theatre),19.38196329,72.82795338,Electronics,3
Shree Mobile Shop,19.38147749,72.82872585,Electronics,4
Top-10 Mobile Shop (Vasai East),19.38641638,72.8313866,Electronics,4
TOP 10 MOBILE SHOP,19.40694266,72.84895275,Electronics,5
SS MOBILE - VASAI WEST,19.38073569,72.82788844,Electronics,4
Mobile.com Vasai,19.38446013,72.83037753,Electronics,3
Shree shreenath telecom,19.38510785,72.83063502,Electronics,2
SUNDARAMM Mobile,19.37944022,72.82703013,Electronics,2
OnePlus Experience Store,19.37466305,72.8235969,Electronics,3
Mi Store,19.37757795,72.8249702,Electronics,4
Samsung SmartCafé (Shree Shreenath Telecom Nx),19.37101936,72.81956286,Electronics,5
Mobile Station Vasai East,19.40567849,72.83691561,Electronics,2
Maa Ashapura Mobile,19.38228092,72.8285042,Electronics,1
Mobile360,19.38211899,72.82859003,Electronics,4
VIVA Electronics,19.3827375,72.82897195,Electronics,5
DIGI1 Vasai West,19.38715009,72.83588132,Electronics,3
Vijay Sales - Vasai,19.3656566,72.8153009,Electronics,2
Johnson Electronics,19.4001824,72.84050236,Electronics,2
Reliance Digital,19.36087963,72.81262958,Electronics,2
Neha Electronics,19.34230142,72.80510721,Electronics,2
Kathu Electronics,19.4189552,72.86350188,Electronics,1
Sanket Electronics,19.38144538,72.828221,Electronics,2
Marudhar Electronics Stores,19.34013448,72.80596888,Electronics,3
M. Star Electronic,19.32935812,72.80810581,Electronics,3
Padmavati Electronics,19.38181965,72.82854036,Electronics,3
shree keteshwar Electronic,19.40604682,72.84654317,Electronics,4
Burhani electronic,19.38452983,72.82743928,Electronics,4
Arihant watch and electronics,19.34588792,72.80348675,Electronics,5
"Rahul Electronics, Vasai West",19.37617325,72.82391446,Electronics,4
Yash Electronics,19.34621186,72.80280011,Electronics,3
Krishna Electronics,19.38799434,72.83318417,Electronics,2
Krishna Electronics,19.38669892,72.8321542,Electronics,1
Mahalaxmi Telecom,19.38551954,72.82781755,Electronics,3
Balaji Mobile,19.38503375,72.83056414,Electronics,2
Shri Balaji Mobile,19.38035713,72.82862748,Electronics,4
Anand Mobile,19.38618667,72.82399263,Electronics,3
POOJA MOBILE SHOP,19.37193632,72.81369294,Electronics,4
Say Mobile Shop,19.40222557,72.85626756,Electronics,4
AK MOBILE SHOP (Vasai),19.40692097,72.85643922,Electronics,3
Mobile Junction,19.41088767,72.8591858,Electronics,3
Neelkanth Mahadev Telecom,19.40449233,72.83721315,Electronics,3
K. M. ELECTRIC & HARDWARE STORE,19.40314947,72.83363177,Electronics,4
Navratan Hardware,19.38362232,72.82797983,Electronics,5
Shree Ashapura Electric & Hardware Stores,19.38633464,72.82750776,Electronics,5
Mahavir Electric & Hardware Store,19.38297459,72.83021143,Electronics,5
S P Parmar Electric And Hardware Store,19.38443197,72.83008268,Electronics,2
Mangal Prabhat elec. hardw. & ceramics,19.37892625,72.82643488,Electronics,2
Parmeshwar Electric & Hardware,19.38775151,72.82643488,Electronics,2
Darshan Electric & Hardware Store,19.40671913,72.83544413,Electronics,2
Mayur Electric & Hardware,19.40968937,72.85358325,Electronics,2
Shubham Electric And Hardware Stores,19.3847518,72.82653447,Electronics,2
Vishwakarma Hardware,19.39737859,72.84267672,Electronics,3
Ranuja Electric,19.41434592,72.85812801,Electronics,3
Amardeep Electric & Fancy Hardware Shop,19.37901172,72.82700637,Electronics,3
Nakoda Electric & Hardware Stores,19.35376443,72.81219224,Electronics,3
Laxmi Electric & Hardware,19.40993697,72.87386547,Electronics,4
Ideal Electric & Hardware Stores,19.34774719,72.81190534,Electronics,5
Mahalaxmi Electric & Hardware Stores,19.35495455,72.81211991,Electronics,5
Sagar Electric And Hardware Store,19.39011857,72.82763892,Electronics,5
Safe Hardware & Electric Stores,19.38222455,72.83051425,Electronics,5
Royal Electrical Hardware,19.38153634,72.8312009,Electronics,4
Ramdev Electric & Hardware Stores,19.38934943,72.825064,Electronics,3
Ashok Hardware Centre,19.38445111,72.83420497,Electronics,2
Lalit Sen Hardware Shop,19.40484428,72.82928758,Electronics,2
Taj Exclusive Hardware,19.38100613,72.8320285,Electronics,3
Kwality hardware store,19.41710156,72.86054475,Electronics,3
Saurab Raj Mobile Centre,19.39801579,72.85094606,Electronics,1
Manish Mobile & Communication - Manish Electronics & Mobile,19.38545115,72.83103958,Electronics,1
Mahalaxmi Mobile World,19.41905229,72.86076088,Electronics,3
Shree Ram Mobile,19.40707155,72.8557827,Electronics,1
Top-10 Mobile Shop,19.42034746,72.86144752,Electronics,2
Jay Ambe Communication,19.38586024,72.82883186,Electronics,2
M M G Electronics,19.38715567,72.83020515,Electronics,3
Satyam Mobile Shop,19.41905229,72.86762733,Electronics,3
Rahul mobile shop,19.39525185,72.86402244,Electronics,4
MANOJ MOBILE SHOP,19.4324891,72.87123222,Electronics,3
Top-10 Mobile Shop (Vasai West Bhabhola Naka),19.36896668,72.81539104,Electronics,5
S.S.MOBILES,19.37868313,72.82551906,Electronics,5
Sainath Mobile,19.4084963,72.85681185,Electronics,5
SANA ELECTRONICS,19.4235294,72.85793358,Electronics,3
